name	aliases
Southeast Asia	Southeast Asia,South East Asia,South-East Asia,Southeastern Asia,south-eastern Asia,Southeast Asian,Southeast Asians,South - East Asia,south - eastern Asia,South East Asian,South East Asians, South - East Asian, South - East Asians, South - Eastern Asian, South - Eastern Asians
East Asia	East Asia,East Asian,East Asians,Eastern Asia,Eastern Asian,Eastern Asians
South Asia	South Asia,South Asian,South Asians,Southern Asia,Southern Asians
Central Asia	Central Asia,Central Asian,Central Asians
West Asia	West Asia,West Asian,West Asians
Middle East	Middle East,Middle Eastern,Middle Easterners
Central America	Central America,Central American,Central Americans
Caribbean	Caribbean,Caribbeans,Caribbean people
Latin America	Latin America,Latin American,Latin Americans,Latino Americans,Latino,Latina
East Africa	East Africa,East African,East Africans,Eastern Africa,Eastern Africans
West Africa	West Africa,West African,West Africans,Western Africa,Western Africans
Central Africa	Central Africa,Central African,Central Africans
North Africa	North Africa,North African,North Africans,Northern Africa,Northern African,Northern Africans
Sub-Saharan Africa	Sub-Saharan Africa,Sub-Saharan African,Sub-Saharan Africans,Sub - Saharan Africa,Sub - Saharan African,Sub - Saharan Africans
East Europe	East Europe,East European,East Europeans,Eastern Europe,Eastern European,Eastern Europeans
West Europe	West Europe,West European,West Europeans,Western Europe,Western European,Western Europeans
Central Europe	Central Europe,Central European,Central Europeans
South Europe	South Europe,South European,South Europeans,Southern Europe,Southern European,Southern Europeans
North Europe	North Europe,North European,North Europeans,Northern Europe,Northern European,Northern Europeans
